mu,Delta,Gap
-3.557788944723618,0.4842105263157895,1.5590374503640445
-3.557788944723618,0.5789473684210527,1.5591575266638094
-3.557788944723618,0.6736842105263159,1.559298540806691
-3.557788944723618,0.7684210526315789,1.5594603084404393
-3.557788944723618,0.8631578947368421,1.5596426383705333
-3.557788944723618,0.9578947368421054,1.5598453353314699
-3.557788944723618,1.0526315789473684,1.5600682018818284
-3.557788944723618,1.1473684210526316,1.560311039668087
-3.557788944723618,1.2421052631578948,1.560573650254018
-3.557788944723618,1.3368421052631578,1.5608558356598625
-3.557788944723618,1.431578947368421,1.5611573987111396
-3.557788944723618,1.5263157894736843,1.5614781432640696
-3.557788944723618,1.6210526315789473,1.561817874351431
-3.557788944723618,1.7157894736842105,1.5621763982772559
-3.557788944723618,1.8105263157894738,1.5625535226786438
-3.557788944723618,1.9052631578947368,1.5629490565663646
-3.557788944723618,2.0,1.5633628103518002
-3.5175879396984926,0.2,1.5186047545157015
-3.5175879396984926,0.2947368421052632,1.5186625184293927
-3.5175879396984926,0.3894736842105263,1.518742241398765
-3.5175879396984926,0.4842105263157895,1.5188437805237538
-3.5175879396984926,0.5789473684210527,1.5189669694796228
-3.5175879396984926,0.6736842105263159,1.5191116254057984
-3.5175879396984926,0.7684210526315789,1.5192775544129806
-3.5175879396984926,0.8631578947368421,1.5194645556692186
-3.5175879396984926,0.9578947368421054,1.5196724242754607
-3.5175879396984926,1.0526315789473684,1.5199009532163892
-3.5175879396984926,1.1473684210526316,1.5201499346518383
-3.5175879396984926,1.2421052631578948,1.5204191607585862
-3.5175879396984926,1.3368421052631578,1.5207084242741173
-3.5175879396984926,1.431578947368421,1.521017518846544
-3.5175879396984926,1.5263157894736843,1.5213462392595418
-3.5175879396984926,1.6210526315789473,1.5216943815773853
-3.5175879396984926,1.7157894736842105,1.522061743238709
-3.5175879396984926,1.8105263157894738,1.5224481231176745
-3.5175879396984926,1.9052631578947368,1.5228533215640658
-3.5175879396984926,2.0,1.5232771404299001
-3.477386934673367,0.2,1.4784050787472092
-3.477386934673367,0.2947368421052632,1.4784643942384625
-3.477386934673367,0.3894736842105263,1.4785462530593838
-3.477386934673367,0.4842105263157895,1.478650503942193
-3.477386934673367,0.5789473684210527,1.47877697114842
-3.477386934673367,0.6736842105263159,1.478925461807239
-3.477386934673367,0.7684210526315789,1.4790957717315236
-3.477386934673367,0.8631578947368421,1.4792876896953824
-3.477386934673367,0.9578947368421054,1.4795010004187037
-3.477386934673367,1.0526315789473684,1.4797354865754762
-3.477386934673367,1.1473684210526316,1.4799909301131822
-3.477386934673367,1.2421052631578948,1.4802671131068101
-3.477386934673367,1.3368421052631578,1.4805638183070502
-3.477386934673367,1.431578947368421,1.4808808294910514
-3.477386934673367,1.5263157894736843,1.481217931686851
-3.477386934673367,1.6210526315789473,1.4815749113174
-3.477386934673367,1.7157894736842105,1.4819515562934984
-3.477386934673367,1.8105263157894738,1.482347656074249
-3.477386934673367,1.9052631578947368,1.4827630017067024
-3.477386934673367,2.0,1.4831973858521894
-3.4371859296482414,0.2,1.4382054766037402
-3.4371859296482414,0.2947368421052632,1.4382664293843794
-3.4371859296482414,0.3894736842105263,1.4383505416821056
-3.4371859296482414,0.4842105263157895,1.4384576531213593
-3.4371859296482414,0.5789473684210527,1.4385875777411026
-3.4371859296482414,0.6736842105263159,1.4387401118222383
-3.4371859296482414,0.7684210526315789,1.4389150400357038
-3.4371859296482414,0.8631578947368421,1.4391121399230817
-3.4371859296482414,0.9578947368421054,1.4393311849951356
-3.4371859296482414,1.0526315789473684,1.4395719467993306
-3.4371859296482414,1.1473684210526316,1.439834196267497
-3.4371859296482414,1.2421052631578948,1.440117704581912
-3.4371859296482414,1.3368421052631578,1.440422243727705
-3.4371859296482414,1.431578947368421,1.4407475868442179
-3.4371859296482414,1.5263157894736843,1.4410935084487801
-3.4371859296482414,1.6210526315789473,1.4414597845797437
-3.4371859296482414,1.7157894736842105,1.4418461928885427
-3.4371859296482414,1.8105263157894738,1.4422525126994536
-3.4371859296482414,1.9052631578947368,1.4426785250488492
-3.4371859296482414,2.0,1.443124012711352
-3.3969849246231156,0.2,1.398005954381318
-3.3969849246231156,0.2947368421052632,1.3980686374702227
-3.3969849246231156,0.3894736842105263,1.3981551308626026
-3.3969849246231156,0.4842105263157895,1.398265264246515
-3.3969849246231156,0.5789473684210527,1.39839884053513
-3.3969849246231156,0.6736842105263159,1.3985556442272504
-3.3969849246231156,0.7684210526315789,1.3987354479126575
-3.3969849246231156,0.8631578947368421,1.3989380169682422
-3.3969849246231156,0.9578947368421054,1.3991631127757855
-3.3969849246231156,1.0526315789473684,1.399410494850334
-3.3969849246231156,1.1473684210526316,1.3996799222164553
-3.3969849246231156,1.2421052631578948,1.3999711542861624
-3.3969849246231156,1.3368421052631578,1.4002839514152126
-3.3969849246231156,1.431578947368421,1.4006180752549537
-3.3969849246231156,1.5263157894736843,1.4009732889752509
-3.3969849246231156,1.6210526315789473,1.4013493574065523
-3.3969849246231156,1.7157894736842105,1.401746047131014
-3.3969849246231156,1.8105263157894738,1.402163126541663
-3.3969849246231156,1.9052631578947368,1.4026003658813047
-3.3969849246231156,2.0,1.4030575372684804
-3.35678391959799,0.2,1.3578065191153272
-3.35678391959799,0.2947368421052632,1.3578710336935111
-3.35678391959799,0.3894736842105263,1.3579600469557658
-3.35678391959799,0.4842105263157895,1.3580733777231175
-3.35678391959799,0.5789473684210527,1.3582108167712728
-3.35678391959799,0.6736842105263159,1.3583721357732095
-3.35678391959799,0.7684210526315789,1.3585570941893803
-3.35678391959799,0.8631578947368421,1.358765444192769
-3.35678391959799,0.9578947368421054,1.358996934011272
-3.35678391959799,1.0526315789473684,1.3592513101187091
-3.35678391959799,1.1473684210526316,1.3595283186398164
-3.35678391959799,1.2421052631578948,1.3598277062398216
-3.35678391959799,1.3368421052631578,1.3601492206843182
-3.35678391959799,1.431578947368421,1.360492611191351
-3.35678391959799,1.5263157894736843,1.3608576286534906
-3.35678391959799,1.6210526315789473,1.361244025778771
-3.35678391959799,1.7157894736842105,1.3616515571809924
-3.35678391959799,1.8105263157894738,1.362079979438324
-3.35678391959799,1.9052631578947368,1.3625290511319024
-3.35678391959799,2.0,1.3629985328717313
-3.3165829145728645,0.2,1.3176071786923595
-3.3165829145728645,0.2947368421052632,1.317673635086919
-3.3165829145728645,0.3894736842105263,1.3177653194912133
-3.3165829145728645,0.4842105263157895,1.317882038810522
-3.3165829145728645,0.5789473684210527,1.318023570546297
-3.3165829145728645,0.6736842105263159,1.3181896723754363
-3.3165829145728645,0.7684210526315789,1.3183800894556772
-3.3165829145728645,0.8631578947368421,1.3185945595938218
-3.3165829145728645,0.9578947368421054,1.3188328167184342
-3.3165829145728645,1.0526315789473684,1.3190945931351499
-3.3165829145728645,1.1473684210526316,1.3193796209605628
-3.3165829145728645,1.2421052631578948,1.3196876330231297
-3.3165829145728645,1.3368421052631578,1.3200183634263416
-3.3165829145728645,1.431578947368421,1.3203715479008404
-3.3165829145728645,1.5263157894736843,1.3207469240254888
-3.3165829145728645,1.6210526315789473,1.3211442313672401
-3.3165829145728645,1.7157894736842105,1.3215632115706366
-3.3165829145728645,1.8105263157894738,1.3220036084158897
-3.3165829145728645,1.9052631578947368,1.3224651678572792
-3.3165829145728645,2.0,1.3229476380491008
-3.2763819095477387,0.2,1.2774079419830284
-3.2763819095477387,0.2947368421052632,1.2774764608039784
-3.2763819095477387,0.3894736842105263,1.2775709816661969
-3.2763819095477387,0.4842105263157895,1.2776912983733584
-3.2763819095477387,0.5789473684210527,1.2778371738708982
-3.2763819095477387,0.6736842105263159,1.2780083505231312
-3.2763819095477387,0.7684210526315789,1.278204557867086
-3.2763819095477387,0.8631578947368421,1.2784255180392232
-3.2763819095477387,0.9578947368421054,1.2786709493843378
-3.2763819095477387,1.0526315789473684,1.2789405687768096
-3.2763819095477387,1.1473684210526316,1.2792340930834747
-3.2763819095477387,1.2421052631578948,1.2795512400755
-3.2763819095477387,1.3368421052631578,1.279891728994526
-3.2763819095477387,1.431578947368421,1.280255280904617
-3.2763819095477387,1.5263157894736843,1.2806416189122507
-3.2763819095477387,1.6210526315789473,1.281050468305111
-3.2763819095477387,1.7157894736842105,1.2814815566408428
-3.2763819095477387,1.8105263157894738,1.281934613804733
-3.2763819095477387,1.9052631578947368,1.2824093720480205
-3.2763819095477387,2.0,1.2829055660138744
-3.2361809045226133,0.2,1.237208819000453
-3.2361809045226133,0.2947368421052632,1.2372795324598735
-3.2361809045226133,0.3894736842105263,1.2373770709333407
-3.2361809045226133,0.4842105263157895,1.2375012137769774
-3.2361809045226133,0.5789473684210527,1.2376517079297467
-3.2361809045226133,0.6736842105263159,1.2378282789571156
-3.2361809045226133,0.7684210526315789,1.2380306392897613
-3.2361809045226133,0.8631578947368421,1.2382584939252517
-3.2361809045226133,0.9578947368421054,1.2385115441792713
